event_id,"event_type","event_datetime",nest_id,"sensor_id","comm_id","battery_level"
1,"nest registration","2014-10-11 13:32:09",1,"AA0028","C-AA0002","674"
2,"nest registration","2014-10-18 18:51:52",2,"AA0017","C-AA0015","686"
3,"nest registration","2014-09-01 21:35:12",3,"AA0009","C-AA0002","705"
4,"nest registration","2014-10-17 03:56:05",4,"AA0014","C-AA0003","660"
5,"nest registration","2014-11-03 21:40:34",5,"AA0027","C-AA0006","669"
6,"nest registration","2014-08-24 09:52:10",6,"AA0008","C-AA0014","713"
7,"nest registration","2014-08-29 20:48:47",7,"AA0011","C-AA0015","710"
8,"nest registration","2014-08-25 22:36:55",8,"AA0013","C-AA0016","703"
9,"nest registration","2014-09-16 03:55:32",9,"AA0012","C-AA0007","683"
10,"nest registration","2014-10-06 04:45:54",10,"AA0025","C-AA0007","678"
11,"nest registration","2014-10-13 07:55:19",11,"AA0026","C-AA0014","686"
12,"nest registration","2014-11-05 02:08:40",12,"AA0012","C-AA0013","676"
13,"nest registration","2014-09-25 19:14:47",13,"AA0024","C-AA0012","686"
14,"nest registration","2014-11-15 02:11:11",12,"AA0012","C-AA0013","671"
15,"nest registration","2014-11-04 10:08:30",12,"AA0012","C-AA0013","675"
16,"nest registration","2014-08-19 08:21:58",14,"AA0010","C-AA0006","685"
17,"nest registration","2014-11-17 22:11:53",12,"AA0012","C-AA0013","676"
18,"nest registration","2014-09-26 13:56:45",12,"AA0012","C-AA0002","679"
19,"nest registration","2014-10-02 09:51:26",15,"AA0007","C-AA0012","681"
20,"nest registration","2014-11-06 14:09:03",12,"AA0012","C-AA0013","678"
21,"nest registration","2014-11-08 18:09:35",12,"AA0012","C-AA0013","675"
22,"nest registration","2014-07-13 06:34:10",3,"AA0009","H-AA0005","561"
23,"nest registration","2014-07-13 07:24:56",6,"AA0008","H-AA0005","546"
24,"nest registration","2014-11-12 10:10:30",12,"AA0012","C-AA0013","676"
25,"nest registration","2014-08-12 12:41:32",1,"AA0028","H-AA0005","581"
26,"nest registration","2014-11-07 14:09:17",12,"AA0012","C-AA0013","677"
27,"nest registration","2014-07-31 09:02:39",16,"AA0024","H-AA0005","610"
28,"nest registration","2014-07-31 15:53:14",17,"AA0017","H-AA0005","601"
29,"nest registration","2014-10-15 06:50:58",2,"AA0017","C-AA0015","688"
30,"nest registration","2014-11-18 06:11:58",12,"AA0012","C-AA0013","673"
31,"nest registration","2014-11-15 22:11:23",12,"AA0012","C-AA0013","670"
32,"nest registration","2014-09-10 20:21:34",14,"AA0010","C-AA0006","684"
33,"nest registration","2014-10-11 15:22:17",12,"AA0012","C-AA0013","686"
34,"nest registration","2014-09-24 13:57:10",12,"AA0012","C-AA0002","673"
35,"nest registration","2014-11-17 10:11:47",12,"AA0012","C-AA0013","674"
36,"nest registration","2014-11-15 13:54:51",18,"AA0004","C-AA0014","678"
37,"nest registration","2014-09-28 15:34:13",12,"AA0012","C-AA0013","688"
38,"nest registration","2014-11-10 02:09:55",12,"AA0012","C-AA0013","673"
39,"nest registration","2014-11-12 06:10:27",12,"AA0012","C-AA0013","676"
40,"nest registration","2014-11-13 14:10:48",12,"AA0012","C-AA0013","676"
41,"nest registration","2014-08-06 09:14:37",2,"AA0017","H-AA0005","587"
42,"nest registration","2014-11-04 14:08:32",12,"AA0012","C-AA0013","676"
43,"nest registration","2014-11-06 22:09:07",12,"AA0012","C-AA0013","678"
44,"nest registration","2014-05-31 03:30:54",19,"AA0006","C-AA0004","561"
45,"nest registration","2014-05-31 03:32:32",20,"AA0001","C-AA0004","560"
46,"nest registration","2014-05-31 03:34:12",21,"AA0005","C-AA0004","558"
47,"nest registration","2014-05-31 03:35:27",22,"AA0003","C-AA0004","554"
48,"nest registration","2014-11-14 10:11:00",12,"AA0012","C-AA0013","672"
49,"nest registration","2014-10-04 15:28:42",12,"AA0012","C-AA0013","686"
50,"nest registration","2014-10-03 15:29:37",12,"AA0012","C-AA0013","685"
51,"nest registration","2014-09-21 21:13:45",23,"AA0003","C-AA0017","585"
52,"nest registration","2014-09-17 14:35:32",24,"AA0002","C-AA0001","700"
53,"nest registration","2014-11-07 10:09:14",12,"AA0012","C-AA0013","676"
54,"nest registration","2014-11-10 14:10:03",12,"AA0012","C-AA0013","676"
55,"nest registration","2014-11-04 02:08:25",12,"AA0012","C-AA0013","674"
56,"nest registration","2014-11-18 14:12:03",12,"AA0012","C-AA0013","672"
