"sensor_id",nest_id,"sensor_firstuse","sensor_lastuse",sensor_inuse
"AA0001",20,"2014-05-31 03:32:32","2014-05-31 03:32:32",1
"AA0002",24,"2014-09-17 14:35:32","2014-09-17 14:35:32",1
"AA0003",23,"2014-05-31 03:35:27","2014-09-21 21:13:45",1
"AA0004",18,"2014-11-15 13:54:51","2014-11-21 16:16:04",1
"AA0005",21,"2014-05-31 03:34:12","2014-05-31 03:34:12",1
"AA0006",19,"2014-05-31 03:30:54","2014-05-31 03:30:54",1
"AA0007",15,"2014-10-02 09:51:26","2014-10-07 09:48:20",1
"AA0008",6,"2014-08-24 09:52:10","2014-08-22 02:36:38",1
"AA0009",3,"2014-09-01 21:35:12","2014-09-02 17:35:26",1
"AA0010",14,"2014-08-19 08:21:58","2014-08-27 20:18:33",1
"AA0011",7,"2014-08-29 20:48:47","2014-09-09 00:58:25",1
"AA0012",12,"2014-09-16 03:55:32","2014-11-22 14:13:06",1
"AA0013",8,"2014-08-25 22:36:55","2014-08-18 06:37:16",1
"AA0014",4,"2014-10-17 03:56:05","2014-10-10 15:47:06",1
"AA0017",2,"2014-10-18 18:51:52","2014-10-17 18:51:37",1
"AA0024",13,"2014-09-25 19:14:47","2014-09-05 15:20:09",1
"AA0025",10,"2014-10-06 04:45:54","2014-10-08 00:46:25",1
"AA0026",11,"2014-10-13 07:55:19","2014-10-14 15:55:41",1
"AA0027",5,"2014-11-03 21:40:34","2014-11-22 13:53:23",1
"AA0028",1,"2014-10-11 13:32:09","2014-10-09 09:31:33",1
